freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,41,81,380,10,9,57
5805,-102,48,83,378,8,8,59
5805,-102,44,84,377,8,10,59
5805,-102,40,80,381,10,10,58
5805,-102,38,82,378,10,10,60
5805,-102,51,84,376,8,10,62
5805,-102,44,79,381,8,9,57
5805,-102,42,81,379,9,10,58
5805,-102,61,84,377,9,9,60
5805,-102,37,79,382,9,8,58
5805,-102,40,80,381,10,10,58
5805,-102,43,82,378,8,10,59
5805,-102,44,79,381,10,10,57
5805,-102,38,81,380,9,8,58
5805,-102,42,82,379,9,9,57
5805,-102,36,81,380,10,9,59
5805,-102,36,82,379,9,8,59
5805,-102,32,81,379,8,9,58
5805,-102,26,81,380,10,9,57
5805,-102,51,82,378,10,10,59
5805,-102,57,81,379,8,9,58
5805,-102,46,82,378,8,8,59
5805,-102,34,83,378,8,10,59
5805,-102,46,82,378,8,9,59
5805,-102,35,82,379,9,8,58
5805,-102,37,83,378,9,11,59
5805,-102,26,80,380,10,8,58
5805,-102,41,79,381,10,8,57
5805,-102,24,80,381,9,10,56
5805,-102,62,82,378,10,9,60
5805,-102,35,81,379,9,8,58
5805,-102,34,80,381,10,8,57
5805,-102,51,83,377,9,8,61
5805,-102,41,82,378,8,8,59
5805,-102,32,81,380,9,9,59
5805,-102,35,82,378,9,8,59
5805,-102,31,81,380,10,11,58
5805,-102,35,83,378,10,8,58
5805,-102,35,80,380,10,8,57
5805,-102,40,81,380,10,9,57
5805,-102,46,82,378,9,11,59
5805,-102,51,83,378,8,9,60
5805,-102,47,82,379,9,11,59
5805,-102,40,81,380,10,10,58
5805,-102,53,83,378,10,9,60
5805,-102,40,84,376,8,8,61
5805,-102,39,81,379,9,11,59
5805,-102,41,81,379,9,9,58
5805,-102,35,81,379,8,9,58
5805,-102,35,81,379,9,8,57
5805,-102,37,80,381,11,9,58
5805,-102,39,82,379,10,10,58
5805,-102,31,83,378,9,9,58
5805,-102,57,84,376,8,11,62
5805,-102,41,81,379,10,9,59
5805,-102,42,83,377,7,9,60
5805,-102,32,82,379,7,9,58
5805,-102,40,82,378,9,9,59
5805,-102,36,83,378,7,7,58
5805,-102,39,82,378,8,8,58
5805,-102,40,83,378,7,7,58
5805,-102,40,84,377,7,8,59
5805,-102,32,82,379,7,6,56
5805,-102,30,83,378,8,7,57
5805,-102,40,84,377,7,8,59
5805,-102,52,82,378,9,7,57
5805,-102,33,81,379,7,10,58
5805,-102,27,82,379,8,7,57
5805,-102,36,83,377,8,9,59
5805,-102,36,83,377,8,9,59
5805,-102,30,81,380,9,10,57
5805,-102,44,82,378,7,10,58
5805,-102,32,81,380,8,11,58
5805,-102,44,83,377,9,8,59
5805,-102,35,82,379,10,8,57
5805,-102,41,84,376,6,9,60
5805,-102,40,80,380,9,10,58
5805,-102,26,80,381,9,10,57
5805,-102,36,80,381,9,11,57
5805,-102,47,80,380,10,11,59
5805,-102,46,81,380,9,9,59
5805,-102,36,80,380,9,10,59
5805,-102,38,81,379,11,10,59
5805,-102,51,81,379,10,11,59
5805,-102,52,80,380,10,7,57
5805,-102,43,81,380,9,10,58
5805,-102,35,81,380,10,10,58
5805,-102,63,81,379,7,10,59
5805,-102,37,81,380,9,11,59
5805,-102,56,81,379,9,9,59
5805,-102,37,79,381,9,10,57
5805,-102,31,80,381,9,8,57
5805,-102,51,81,379,9,9,60
5805,-102,46,81,379,7,11,60
5805,-102,56,81,379,8,8,58
5805,-102,42,79,381,9,8,56
5805,-102,42,80,380,7,7,57
5805,-102,53,81,379,7,7,58
5805,-102,39,81,380,10,9,57
5805,-102,39,81,380,10,8,58
5805,-102,46,81,380,9,10,58
5805,-102,67,81,379,8,9,59
5805,-102,42,81,380,8,7,57
5805,-102,52,81,380,10,9,58
5805,-102,45,81,379,9,10,59
5805,-102,51,81,380,11,10,59
5805,-102,61,81,380,8,10,59
5805,-102,46,79,381,10,10,57
5805,-102,49,81,379,8,9,60
5805,-102,42,81,379,9,8,58
5805,-102,30,81,380,9,8,56
5805,-102,49,81,379,9,13,59
5805,-102,38,80,380,10,9,57
5805,-102,40,81,379,9,11,59
5805,-102,51,81,379,6,10,60
5805,-102,51,81,380,10,9,58
5805,-102,51,81,379,8,9,58
5805,-102,42,80,380,9,11,58
5805,-102,49,80,380,9,10,59
5805,-102,40,80,380,9,9,58
5805,-102,49,80,380,9,9,58
5805,-102,48,79,381,11,10,58
5805,-102,28,80,381,11,7,57
5805,-102,37,81,379,7,11,59
5805,-102,49,79,381,9,11,58
5805,-102,43,81,379,10,11,59
5805,-102,29,79,382,9,10,57
5805,-102,40,79,381,10,10,58
5805,-102,42,81,379,7,9,59
5805,-102,54,81,380,8,10,59
5805,-102,69,80,380,9,10,59
5805,-102,49,80,380,9,11,59
5805,-102,65,81,380,8,9,58
5805,-102,51,81,379,8,10,60
5805,-102,32,78,382,10,9,56
5805,-102,49,81,379,8,9,58
5805,-102,56,81,379,7,11,59
5805,-102,38,80,381,9,8,57
5805,-102,48,81,379,9,8,59
5805,-102,42,81,379,9,9,58
5805,-102,45,81,379,9,10,58
5805,-102,52,80,380,8,8,58
5805,-102,45,81,379,9,8,59
5805,-102,46,81,380,9,10,58
5805,-102,33,79,382,9,8,56
5805,-102,40,81,379,6,10,59
5805,-102,60,81,379,9,10,59
5805,-102,53,81,379,8,7,59
5805,-102,42,81,380,9,9,58
5805,-102,55,81,379,10,9,59
5805,-102,43,81,379,10,7,59
5805,-102,64,81,379,9,9,60
5805,-102,52,81,380,9,10,57
5805,-102,48,81,379,9,9,59
5805,-102,55,80,380,9,10,59
5805,-102,60,81,380,9,9,57
5805,-102,26,79,381,10,7,56
5805,-102,45,80,380,9,11,58
5805,-102,39,80,380,9,8,58
5805,-102,40,80,380,9,10,59
5805,-102,55,80,380,9,10,58
5805,-102,56,81,379,9,10,59
5805,-102,52,81,379,8,8,59
5805,-102,48,79,381,9,9,58
5805,-102,35,81,380,10,8,58
5805,-102,65,81,379,7,10,59
5805,-102,37,80,380,9,10,58
5805,-102,54,81,379,9,8,59
5805,-102,47,81,380,9,10,58
5805,-102,41,79,382,10,8,58
5805,-102,45,80,380,9,11,58
5805,-102,42,78,383,10,11,57
5805,-102,32,81,379,10,10,58
5805,-102,61,81,379,9,11,59
5805,-102,37,79,381,9,9,57
5805,-102,49,80,380,10,10,57
5805,-102,45,79,381,8,10,55
5805,-102,42,81,379,7,8,59
5805,-102,36,81,380,8,9,57
5805,-102,46,80,380,10,8,59
5805,-102,35,80,380,11,7,58
5805,-102,40,80,380,8,10,58
5805,-102,56,81,380,9,7,58
5805,-102,39,80,380,9,9,58
5805,-102,38,81,380,9,9,58
5805,-102,62,81,379,9,8,59
5805,-102,41,81,379,8,9,58
5805,-102,40,78,382,10,10,57
5805,-102,46,81,379,10,10,59
5805,-102,39,81,379,8,10,58
5805,-102,44,81,380,10,10,58
5805,-102,49,80,380,9,9,59
5805,-102,50,81,380,9,9,57
5805,-102,50,81,379,9,7,59
5805,-102,55,81,379,9,11,60
5805,-102,57,81,380,9,8,57
5805,-102,51,81,379,9,10,59
5805,-102,42,80,381,9,12,58
5805,-102,44,80,380,9,10,58
5805,-102,48,81,379,8,7,58
5805,-102,48,81,379,8,11,58
5805,-102,46,81,379,9,11,59
5805,-102,39,81,380,8,10,58
5805,-102,52,81,379,8,10,59
5805,-102,41,81,380,10,10,59
5805,-102,43,81,379,7,9,59
5805,-102,56,80,381,10,8,57
5805,-102,50,81,379,6,9,58
5805,-102,46,81,379,8,9,58
5805,-102,34,77,384,10,8,54
5805,-102,46,80,380,10,10,58
5805,-102,45,81,379,7,9,59
5805,-102,42,80,380,9,10,58
5805,-102,53,80,381,10,9,57
5805,-102,40,80,381,10,9,56
5805,-102,42,81,379,9,10,60
5805,-102,49,81,379,8,10,59
5805,-102,38,81,379,9,8,58
5805,-102,38,80,381,10,9,57
5805,-102,52,81,380,9,10,58
5805,-102,54,81,379,7,10,60
5805,-102,38,81,379,9,9,59
5805,-102,36,80,380,9,10,58
5805,-102,32,80,381,11,6,57
5805,-102,49,81,379,8,7,58
5805,-102,44,80,381,9,9,57
5805,-102,64,81,379,9,10,59
5805,-102,30,81,379,9,9,57
5805,-102,46,80,381,8,10,58
5805,-102,45,81,379,9,11,60
5805,-102,57,81,379,9,9,59
5805,-102,49,81,380,8,10,58
5805,-102,45,80,380,10,10,59
5805,-102,44,81,379,9,9,60
5805,-102,54,81,379,8,9,59
5805,-102,32,78,382,11,10,58
5805,-102,58,81,379,8,9,60
5805,-102,51,81,379,9,11,59
5805,-102,38,81,379,9,11,60
5805,-102,51,81,379,9,11,60
5805,-102,36,81,379,9,9,59
5805,-102,39,80,381,10,9,57
5805,-102,54,81,380,9,9,57
5805,-102,67,81,379,8,10,58
5805,-102,48,81,379,9,10,59
5805,-102,41,81,380,9,9,58
5805,-102,41,81,379,9,9,58
5805,-102,64,81,379,10,7,59
5805,-102,46,80,380,9,9,57
5805,-102,34,79,382,9,8,55
5805,-102,67,81,379,9,9,58
5805,-102,44,81,379,10,9,57
5805,-102,38,81,379,9,10,59
5805,-102,44,81,379,8,8,59
5805,-102,58,80,380,10,9,57
5805,-102,48,81,379,10,7,59
5805,-102,62,81,379,8,9,59
5805,-102,41,80,381,9,10,57
5805,-102,44,81,379,11,9,59
5805,-102,39,81,379,8,9,58
5805,-102,51,81,380,9,10,57
5805,-102,42,81,380,10,8,58
5805,-102,28,80,381,9,11,57
5805,-102,64,81,379,10,12,59
5805,-102,34,81,380,9,10,58
5805,-102,56,81,379,9,9,58
5805,-102,26,79,382,9,9,55
5805,-102,61,80,380,9,11,59
5805,-102,58,81,379,9,9,59
5805,-102,64,80,380,9,10,58
5805,-102,58,81,380,9,9,58
5805,-102,33,81,379,8,11,59
5805,-102,53,81,379,8,11,60
5805,-102,33,79,381,10,9,56
5805,-102,35,80,380,10,11,58
5805,-102,50,81,379,10,9,58
5805,-102,50,81,380,9,11,59
5805,-102,54,81,379,8,12,59
5805,-102,47,80,381,8,7,56
5805,-102,41,81,379,8,9,59
5805,-102,50,81,379,8,10,59
5805,-102,43,81,379,8,10,58
5805,-102,33,81,380,8,8,58
5805,-102,54,81,379,8,9,58
5805,-102,35,81,379,9,9,58
5805,-102,40,81,379,8,6,58
5805,-102,47,81,379,8,9,58
5805,-102,46,81,379,8,9,59
5805,-102,56,81,379,8,9,59
5805,-102,35,80,380,9,9,57
5805,-102,47,81,380,8,7,57
5805,-102,30,81,380,8,8,57
5805,-102,42,80,381,11,9,57
5805,-102,52,80,380,9,8,57
5805,-102,27,81,380,9,11,57
5805,-102,46,81,379,9,8,59
5805,-102,38,80,381,9,8,56
5805,-102,63,81,379,9,9,58
5805,-102,42,81,379,8,10,59
5805,-102,47,80,380,9,9,59
5805,-102,30,80,381,9,11,57
5805,-102,36,81,379,7,11,59
5805,-102,52,80,381,9,9,58
5805,-102,49,81,379,7,9,58
5805,-102,46,81,379,7,10,58
5805,-102,54,81,379,9,9,59
5805,-102,53,81,379,8,9,58
5805,-102,54,81,379,7,9,57
5805,-102,44,79,381,9,11,57
5805,-102,52,81,379,8,7,59
5805,-102,31,79,381,9,10,57
5805,-102,48,81,380,9,11,58
5805,-102,37,81,379,8,10,58
5805,-102,48,81,379,7,8,58
5805,-102,43,80,381,8,10,58
5805,-102,39,81,379,10,10,58
5805,-102,41,81,379,8,9,58
5805,-102,54,81,379,7,9,58
5805,-102,34,81,379,8,11,59
5805,-102,73,81,379,8,9,59
5805,-102,40,81,379,8,6,58
5805,-102,39,81,380,8,10,57
5805,-102,50,81,379,7,8,58
5805,-102,53,81,379,8,7,58
5805,-102,67,81,379,9,11,59
5805,-102,46,79,381,9,7,55
5805,-102,46,81,379,9,8,58
5805,-102,53,81,379,9,12,58
5805,-102,44,81,380,8,6,56
5805,-102,41,81,379,10,8,58
5805,-102,30,80,380,9,10,58
5805,-102,34,80,381,11,9,57
5805,-102,37,81,379,7,10,59
5805,-102,52,81,380,9,10,58
5805,-102,43,80,381,10,9,58
5805,-102,34,81,379,8,10,58
5805,-102,48,81,379,8,10,59
5805,-102,41,81,379,8,8,58
5805,-102,30,81,379,9,8,57
5805,-102,45,81,379,9,11,59
5805,-102,32,81,380,9,11,57
5805,-102,39,81,379,7,10,58
5805,-102,43,80,380,9,10,58
5805,-102,55,81,379,8,11,59
5805,-102,53,81,379,8,9,59
5805,-102,59,81,379,8,10,59
5805,-102,69,81,379,9,11,59
5805,-102,51,81,379,8,10,59
5805,-102,48,80,381,9,11,57
5805,-102,66,81,379,8,8,59
5805,-102,36,80,381,10,10,57
5805,-102,46,81,379,8,10,59
5805,-102,50,80,380,8,9,58
5805,-102,63,80,380,10,9,58
5805,-102,83,81,379,6,7,58
5805,-102,38,81,379,8,8,59
5805,-102,32,81,379,9,8,57
5805,-102,31,80,380,10,8,57
5805,-102,38,80,380,9,8,58
5805,-102,33,80,381,10,10,57
5805,-102,35,81,379,8,8,58
5805,-102,38,81,379,10,8,58
5805,-102,40,81,379,10,10,59
5805,-102,45,81,380,10,8,57
5805,-102,59,81,379,7,8,58
5805,-102,48,80,381,11,9,57
5805,-102,56,81,379,9,10,59
5805,-102,40,81,379,9,10,58
5805,-102,45,81,379,8,11,59
5805,-102,32,80,380,9,10,58
5805,-102,42,80,380,10,9,57
5805,-102,51,81,379,9,7,57
5805,-102,61,81,379,10,9,59
5805,-102,89,81,379,7,10,58
5805,-102,40,80,380,9,10,59
5805,-102,38,78,382,10,11,57
5805,-102,37,81,380,9,9,57
5805,-102,41,81,379,9,10,59
5805,-102,36,81,380,8,11,59
5805,-102,52,81,379,8,7,58
5805,-102,56,81,379,7,11,58
5805,-102,34,80,380,10,9,57
5805,-102,54,81,379,9,8,59
5805,-102,44,81,379,7,10,59
5805,-102,43,81,379,9,11,60
5805,-102,39,80,380,9,11,58
5805,-102,45,81,380,9,11,57
5805,-102,43,81,379,7,10,59
5805,-102,33,80,380,9,8,57
5805,-102,43,81,379,7,9,58
5805,-102,33,81,379,8,9,58
5805,-102,50,81,380,9,9,58
5805,-102,66,81,379,9,8,59
5805,-102,43,81,380,8,9,57
5805,-102,48,81,379,8,8,58
5805,-102,29,80,381,9,9,56
5805,-102,31,81,379,9,8,58
5805,-102,41,80,380,8,9,57
5805,-102,57,81,379,8,8,58
5805,-102,41,81,379,8,9,58
5805,-102,43,81,379,8,11,59
5805,-102,26,79,382,10,8,55
5805,-102,76,81,379,8,8,59
5805,-102,59,80,381,10,9,57
5805,-102,53,81,379,10,11,59
5805,-102,35,81,379,9,9,58
5805,-102,59,81,380,8,9,58
5805,-102,41,80,380,9,11,58
5805,-102,43,81,379,8,10,59
5805,-102,49,81,379,10,10,59
5805,-102,50,80,380,9,8,58
5805,-102,53,80,380,9,9,57
5805,-102,37,81,380,7,11,57
5805,-102,68,81,379,9,11,59
5805,-102,33,81,380,8,10,57
5805,-102,46,81,379,9,10,58
5805,-102,49,81,379,8,9,59
5805,-102,56,81,379,8,9,58
5805,-102,35,81,379,7,10,59
5805,-102,45,80,380,8,9,59
5805,-102,35,81,379,8,10,59
5805,-102,41,81,379,7,10,59
5805,-102,62,81,379,8,10,59
5805,-102,49,80,380,9,8,57
5805,-102,38,80,380,8,8,56
5805,-102,49,81,379,8,9,58
5805,-102,49,81,380,9,10,58
5805,-102,43,81,379,9,9,58
5805,-102,53,81,379,8,7,58
5805,-102,65,81,379,9,11,59
5805,-102,30,81,380,9,9,57
5805,-102,37,81,379,9,9,58
5805,-102,42,81,380,8,11,58
5805,-102,24,80,381,10,7,55
5805,-102,42,81,379,7,7,57
5805,-102,52,81,379,9,8,58
5805,-102,40,81,379,10,8,58
5805,-102,51,81,379,8,9,59
5805,-102,67,80,380,9,10,58
5805,-102,65,81,379,10,8,59
5805,-102,57,81,379,9,10,58
5805,-102,32,81,380,8,9,57
5805,-102,41,81,379,9,9,59
5805,-102,46,81,379,9,10,59
5805,-102,61,81,379,7,10,59
5805,-102,36,80,380,10,10,58
5805,-102,33,81,380,8,10,57
5805,-102,39,81,379,9,10,59
5805,-102,32,79,382,10,11,57
5805,-102,44,81,379,10,10,58
5805,-102,55,81,379,8,12,59
5805,-102,46,80,380,8,10,58
5805,-102,32,79,382,10,10,55
5805,-102,69,81,379,8,9,59
5805,-102,54,81,379,7,11,60
5805,-102,39,81,379,8,11,59
5805,-102,38,80,380,9,9,58
5805,-102,50,80,380,8,9,58
5805,-102,40,81,379,9,11,58
5805,-102,34,81,379,9,10,58
5805,-102,53,81,379,9,8,58
5805,-102,51,81,379,9,10,59
5805,-102,49,81,379,8,10,59
5805,-102,45,81,379,8,9,59
5805,-102,27,79,381,9,9,56
5805,-102,40,80,381,9,10,57
5805,-102,37,81,379,7,10,58
5805,-102,51,81,380,8,11,58
5805,-102,35,80,380,8,9,57
5805,-102,51,81,379,9,9,58
5805,-102,68,81,379,8,8,59
5805,-102,53,81,380,9,7,57
5805,-102,74,81,379,9,8,58
5805,-102,60,81,379,10,10,59
5180,-102,79,81,379,7,6,57
5180,-102,20,72,388,10,8,48
5180,-102,69,81,379,8,8,55
5180,-102,52,78,382,10,9,57
5180,-102,47,83,378,8,11,59
5180,-102,42,84,377,6,8,60
5180,-102,33,84,377,5,7,59
5180,-102,98,82,378,8,13,63
5180,-102,35,82,379,7,10,58
5180,-102,34,83,378,8,8,57
5180,-102,38,82,379,8,9,58
5180,-102,58,80,380,10,10,61
5180,-102,42,85,375,7,9,60
5180,-102,39,83,378,8,8,58
5180,-102,103,85,376,7,1,62
5180,-102,42,84,376,8,8,59
5180,-102,79,84,377,7,9,60
5180,-102,91,83,378,8,13,64
5180,-102,28,76,385,10,9,55
5180,-102,33,81,380,9,8,57
5180,-102,33,82,378,9,9,58
5180,-102,30,81,379,10,9,59
5180,-102,37,84,376,6,7,59
