freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,38,38,423,54,15,58
5805,-102,38,38,423,53,14,58
5805,-102,36,37,424,54,15,57
5805,-102,37,38,423,53,17,59
5805,-102,30,37,423,54,16,58
5805,-102,48,39,422,52,14,59
5805,-102,31,38,422,52,15,58
5805,-102,49,38,422,52,16,59
5805,-102,42,37,423,54,15,59
5805,-102,32,38,423,54,14,58
5805,-102,29,37,424,54,14,57
5805,-102,47,39,421,52,16,59
5805,-102,34,37,424,54,12,58
5805,-102,37,38,422,53,15,58
5805,-102,49,39,422,52,15,59
5805,-102,35,37,423,54,15,58
5805,-102,50,39,422,53,15,59
5805,-102,44,38,422,53,14,59
5805,-102,33,38,422,53,17,58
5805,-102,42,39,422,54,13,60
5805,-102,37,38,422,53,15,59
5805,-102,58,41,420,48,15,61
5805,-102,36,38,423,53,14,58
5805,-102,35,37,424,55,14,57
5805,-102,36,38,423,53,13,59
5805,-102,31,37,424,54,13,57
5805,-102,44,40,421,51,15,60
5805,-102,47,38,422,52,16,58
5805,-102,35,37,423,55,15,58
5805,-102,49,38,423,53,15,58
5805,-102,52,38,423,54,11,58
5805,-102,36,38,422,52,15,59
5805,-102,35,38,422,53,14,58
5805,-102,38,39,422,52,16,60
5805,-102,52,38,423,52,15,59
5805,-102,37,37,424,55,16,57
5805,-102,41,38,422,53,14,59
5805,-102,33,38,423,54,17,58
5805,-102,32,38,423,53,14,58
5805,-102,49,38,423,54,16,58
5805,-102,29,37,423,53,12,57
5805,-102,49,39,421,52,16,60
5805,-102,34,38,423,54,12,58
5805,-102,56,39,421,52,15,59
5805,-102,34,37,423,54,13,58
5805,-102,40,39,422,52,17,59
5805,-102,36,38,423,53,13,58
5805,-102,42,38,423,53,16,59
5805,-102,44,40,421,52,16,60
5805,-102,41,38,423,54,14,59
5805,-102,39,38,423,54,16,59
5805,-102,33,38,423,54,14,59
5805,-102,33,38,423,54,16,58
5805,-102,36,37,423,54,15,58
5805,-102,31,38,422,53,14,59
5805,-102,38,38,422,53,16,58
5805,-102,44,39,421,53,13,59
5805,-102,52,39,421,52,17,58
5805,-102,43,40,421,51,14,60
5805,-102,36,39,422,53,14,60
5805,-102,37,38,423,53,14,58
5805,-102,45,38,423,55,14,60
5805,-102,48,38,423,54,15,59
5805,-102,32,36,424,55,15,57
5805,-102,46,38,423,54,16,59
5805,-102,32,38,422,53,13,58
5805,-102,49,39,422,53,15,59
5805,-102,39,37,423,54,14,58
5805,-102,44,40,420,51,15,60
5805,-102,29,38,422,53,16,58
5805,-102,39,37,423,54,18,58
5805,-102,36,38,422,54,14,59
5805,-102,41,39,421,52,15,59
5805,-102,50,38,422,53,14,58
5805,-102,41,37,423,55,16,58
5805,-102,44,40,421,52,14,60
5805,-102,34,37,423,55,17,58
5805,-102,49,40,421,51,14,60
5805,-102,40,38,423,54,13,59
5805,-102,36,37,423,54,13,57
5805,-102,56,39,422,53,14,60
5805,-102,40,36,424,55,14,57
5805,-102,39,38,422,53,12,59
5805,-102,38,38,422,53,15,58
5805,-102,42,38,422,53,13,59
5805,-102,40,39,422,52,16,59
5805,-102,50,39,422,54,14,60
5805,-102,36,37,423,54,16,58
5805,-102,43,38,422,54,12,59
5805,-102,44,40,421,50,17,60
5805,-102,45,38,423,51,15,59
5805,-102,33,38,422,53,16,58
5805,-102,45,39,422,52,16,60
5805,-102,40,38,422,53,17,59
5805,-102,47,39,422,52,15,58
5805,-102,29,37,424,55,16,57
5805,-102,36,37,423,54,17,58
5805,-102,34,37,423,55,16,58
5805,-102,32,38,423,55,14,58
5805,-102,36,39,422,52,15,60
5805,-102,38,38,422,53,17,59
5805,-102,31,38,423,53,15,59
5805,-102,42,38,422,53,16,58
5805,-102,37,38,423,54,15,58
5805,-102,38,37,424,55,14,57
5805,-102,43,38,422,53,15,59
5805,-102,41,38,422,53,14,59
5805,-102,35,38,423,53,15,59
5805,-102,34,38,423,54,13,58
5805,-102,44,37,423,54,17,58
5805,-102,51,39,422,53,15,59
5805,-102,41,38,423,53,15,59
5805,-102,30,37,423,55,13,57
5805,-102,39,37,423,53,12,57
5805,-102,32,38,423,54,16,59
5805,-102,36,37,424,54,14,57
5805,-102,35,37,423,54,17,57
5805,-102,40,38,422,52,13,58
5805,-102,30,37,423,54,15,57
5805,-102,62,39,422,53,17,59
5805,-102,28,36,424,55,15,57
5805,-102,41,38,423,54,16,58
5805,-102,25,36,425,56,15,56
5805,-102,39,37,423,54,13,58
5805,-102,40,37,423,53,14,58
5805,-102,37,38,423,55,15,59
5805,-102,38,37,424,54,15,57
5805,-102,48,39,421,52,15,60
5805,-102,57,40,421,52,16,61
5805,-102,37,38,423,53,16,59
5805,-102,28,37,423,53,17,57
5805,-102,36,37,423,54,17,58
5805,-102,35,38,422,53,15,59
5805,-102,50,39,422,52,15,59
5805,-102,34,37,423,53,16,57
5805,-102,32,38,423,54,15,58
5805,-102,50,38,423,53,17,59
5805,-102,39,37,423,53,12,58
5805,-102,65,40,421,50,15,60
5805,-102,37,39,422,53,15,59
5805,-102,34,38,422,53,16,59
5805,-102,32,38,422,53,16,58
5805,-102,42,38,422,52,16,58
5805,-102,43,38,422,54,13,58
5805,-102,43,40,421,51,15,61
5805,-102,28,37,423,54,14,57
5805,-102,41,38,422,53,15,59
5805,-102,32,38,422,53,13,59
5805,-102,36,38,423,53,16,58
5805,-102,38,37,423,53,14,57
5805,-102,55,39,422,53,14,60
5805,-102,37,38,422,53,15,59
5805,-102,48,39,422,51,15,59
5805,-102,41,37,423,54,14,57
5805,-102,34,39,422,52,15,59
5805,-102,41,37,423,53,16,58
5805,-102,30,38,422,52,14,58
5805,-102,37,38,422,54,15,59
5805,-102,40,39,422,53,15,59
5805,-102,39,38,423,53,17,59
5805,-102,53,39,422,53,15,60
5805,-102,42,38,422,53,16,58
5805,-102,50,38,423,53,13,59
5805,-102,37,39,422,51,13,59
5805,-102,41,37,423,54,17,58
5805,-102,45,39,422,53,15,59
5805,-102,42,37,424,54,14,57
5805,-102,47,38,422,52,14,58
5805,-102,42,38,423,55,16,59
5805,-102,36,38,422,53,16,58
5805,-102,44,39,422,53,14,59
5805,-102,27,38,422,53,16,58
5805,-102,39,39,422,53,16,59
5805,-102,39,38,423,53,15,59
5805,-102,43,39,421,52,13,59
5805,-102,57,39,421,51,15,60
5805,-102,36,38,422,54,14,59
5805,-102,37,39,421,53,13,59
5805,-102,47,38,423,52,16,59
5805,-102,31,38,422,52,16,59
5805,-102,51,39,422,53,15,60
5805,-102,39,38,422,52,14,59
5805,-102,47,38,422,53,17,59
5805,-102,45,38,422,53,13,58
5805,-102,39,38,423,53,14,59
5805,-102,31,38,422,53,12,58
5805,-102,43,39,421,52,15,59
5805,-102,30,37,424,55,13,57
5805,-102,46,39,421,52,17,59
5805,-102,38,38,423,53,14,59
5805,-102,32,37,423,54,15,58
5805,-102,34,37,424,54,16,57
5805,-102,33,38,422,51,17,59
5805,-102,48,39,422,53,16,59
5805,-102,46,38,423,53,15,59
5805,-102,36,37,423,54,15,58
5805,-102,34,37,423,53,18,58
5805,-102,30,37,424,54,15,58
5805,-102,42,37,423,54,18,58
5805,-102,41,39,422,52,14,60
5805,-102,36,38,423,53,13,58
5805,-102,49,79,381,9,8,57
5805,-102,40,82,379,7,6,59
5805,-102,49,79,382,10,9,59
5805,-102,32,78,382,9,8,58
5805,-102,56,77,383,12,10,58
5805,-102,31,78,382,11,8,56
5805,-102,74,81,379,9,8,59
5805,-102,33,79,381,11,8,57
5805,-102,55,80,381,10,8,58
5805,-102,34,79,381,9,10,59
5805,-102,54,80,381,10,7,59
5805,-102,31,79,381,10,10,58
5805,-102,76,80,381,9,9,59
5805,-102,34,79,381,10,9,58
5805,-102,85,82,378,9,8,61
5805,-102,28,78,383,12,9,57
5805,-102,44,78,383,11,8,57
5805,-102,33,77,383,10,10,56
5805,-102,76,80,380,7,10,59
5805,-102,41,79,381,10,9,58
5805,-102,61,80,381,9,7,59
5805,-102,34,79,382,9,8,57
5805,-102,48,78,382,9,10,57
5805,-102,34,78,382,10,9,57
5805,-102,55,79,381,10,10,58
5805,-102,36,80,381,10,8,59
5805,-102,68,79,381,9,10,59
5805,-102,39,79,381,9,6,57
5805,-102,44,79,382,11,9,58
5805,-102,37,80,381,9,10,59
5805,-102,60,79,381,9,7,58
5805,-102,41,38,423,52,17,59
5805,-102,32,36,424,55,16,56
5805,-102,31,38,422,53,14,58
5805,-102,41,38,422,53,12,58
5805,-102,36,37,423,54,14,58
5805,-102,42,39,421,52,13,59
5805,-102,37,38,422,54,12,59
5805,-102,40,38,422,53,17,59
5805,-102,39,38,423,55,12,58
5805,-102,31,36,424,54,15,57
5805,-102,49,39,421,50,15,59
5805,-102,41,39,421,53,13,58
5805,-102,36,38,422,54,14,58
5805,-102,50,39,421,52,14,59
5805,-102,45,38,423,54,12,58
5805,-102,58,39,422,53,12,60
5805,-102,33,38,422,53,14,58
5805,-102,30,38,422,54,14,58
5805,-102,43,39,422,52,16,60
5805,-102,38,39,422,53,13,59
5805,-102,32,38,423,54,15,58
5805,-102,34,38,422,53,13,57
5805,-102,52,38,422,54,16,59
5805,-102,35,37,423,54,14,57
5805,-102,58,40,421,52,15,60
5805,-102,35,38,423,54,13,58
5805,-102,54,39,422,53,13,60
5805,-102,41,37,424,55,14,58
5805,-102,36,38,423,53,15,59
5805,-102,41,38,423,52,13,59
5805,-102,29,37,423,55,12,58
5805,-102,33,37,423,54,17,57
5805,-102,44,39,422,54,15,60
5805,-102,41,39,421,52,15,60
5805,-102,32,37,423,54,14,57
5805,-102,36,39,422,54,16,60
5805,-102,35,37,423,54,15,58
5805,-102,39,38,422,52,15,58
5805,-102,50,38,423,53,15,59
