freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,41,71,390,19,12,58
5805,-102,28,70,391,19,12,57
5805,-102,52,72,389,17,13,59
5805,-102,30,70,391,20,10,57
5805,-102,35,71,389,17,11,58
5805,-102,31,70,390,19,12,58
5805,-102,34,70,390,19,12,58
5805,-102,45,72,389,18,13,60
5805,-102,43,72,389,17,13,60
5805,-102,34,69,392,19,12,57
5805,-102,23,68,392,21,13,55
5805,-102,43,72,388,18,13,60
5805,-102,32,69,391,19,12,56
5805,-102,45,71,389,18,11,59
5805,-102,39,71,389,19,13,58
5805,-102,31,70,390,19,14,57
5805,-102,58,73,388,17,12,60
5805,-102,36,70,390,19,13,58
5805,-102,35,71,389,19,14,59
5805,-102,44,72,389,18,13,59
5805,-102,41,71,390,19,12,59
5805,-102,39,71,390,18,12,58
5805,-102,30,69,391,19,11,56
5805,-102,43,72,388,19,15,60
5805,-102,33,70,391,20,13,57
5805,-102,35,70,391,20,13,58
5805,-102,43,70,390,20,14,58
5805,-102,37,71,389,18,12,59
5805,-102,42,71,389,19,14,59
5805,-102,30,70,391,20,13,58
5805,-102,35,69,391,20,11,56
5805,-102,58,73,388,16,11,60
5805,-102,34,70,390,19,12,58
5805,-102,32,71,390,17,14,59
5805,-102,38,71,389,18,12,59
5805,-102,42,71,390,19,14,59
5805,-102,36,70,391,19,13,58
5805,-102,45,71,389,18,12,59
5805,-102,57,72,389,17,14,60
5805,-102,34,70,391,20,11,57
5805,-102,39,71,389,17,14,59
5805,-102,38,72,389,19,11,58
5805,-102,40,70,391,18,12,58
5805,-102,38,71,390,19,14,59
5805,-102,54,70,391,18,13,59
5805,-102,43,70,391,19,13,58
5805,-102,38,71,390,20,13,59
5805,-102,32,69,391,20,13,57
5805,-102,32,70,391,19,13,58
5805,-102,37,70,391,19,11,57
5805,-102,30,69,391,19,14,57
5805,-102,53,72,389,18,12,59
5805,-102,43,73,388,16,12,60
5805,-102,38,72,389,18,14,59
5805,-102,36,71,390,18,13,58
5805,-102,34,70,390,18,13,59
5805,-102,34,70,391,20,15,58
5805,-102,35,71,389,18,14,59
5805,-102,41,71,390,19,13,59
5805,-102,39,72,388,16,14,59
5805,-102,46,73,388,18,14,61
5805,-102,36,71,390,19,13,59
5805,-102,34,70,390,18,13,57
5805,-102,48,72,388,17,13,59
5805,-102,44,71,390,17,12,59
5805,-102,28,69,391,20,13,56
5805,-102,26,70,391,19,13,58
5805,-102,34,70,390,19,13,57
5805,-102,45,71,390,18,13,58
5805,-102,41,71,390,19,13,58
5805,-102,29,70,391,20,12,58
5805,-102,36,71,390,17,10,60
5805,-102,28,70,390,18,14,58
5805,-102,39,71,389,19,12,59
5805,-102,40,71,390,19,14,59
5805,-102,39,71,390,18,12,58
