freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-108,84,68,399,28,19,53
2412,-108,96,63,404,29,15,53
2412,-108,99,57,409,29,22,49
2412,-108,94,51,415,30,19,47
2412,-108,97,51,416,27,15,46
2412,-108,100,57,410,29,16,50
2412,-108,95,57,410,26,21,48
2412,-108,98,57,409,26,24,48
2412,-108,91,57,409,25,17,49
2412,-108,102,57,409,28,20,49
2412,-108,105,57,409,27,13,49
2412,-108,100,57,410,31,15,48
2412,-108,97,51,416,22,15,44
2412,-108,93,69,397,19,11,53
2412,-108,90,69,397,21,18,58
2412,-108,80,81,386,9,13,56
2412,-108,107,81,386,12,11,56
2412,-108,102,81,386,9,11,56
2412,-108,91,81,386,11,11,56
2412,-108,106,81,386,10,12,56
2412,-108,92,81,386,12,14,56
2412,-108,92,76,390,14,9,54
2412,-108,87,81,386,15,17,60
2412,-108,107,81,386,13,13,58
2412,-108,72,80,386,10,7,55
2412,-108,94,81,386,7,12,56
2412,-108,59,75,391,17,11,57
2412,-108,102,81,386,9,13,56
2412,-108,80,81,386,9,11,55
2412,-108,78,81,386,9,11,54
2412,-108,76,81,386,12,13,57
2412,-108,82,81,386,9,18,61
2412,-108,91,74,392,19,12,53
2412,-108,78,78,389,15,8,56
2412,-108,77,81,386,9,13,56
2412,-108,88,74,392,11,13,51
2412,-108,104,74,392,11,11,52
2412,-108,96,74,392,12,11,52
2412,-108,86,81,386,13,8,57
2412,-108,86,81,386,9,12,55
2412,-108,97,81,386,8,9,56
2412,-108,94,80,387,14,15,56
2412,-108,89,80,387,13,14,56
2412,-108,110,79,387,14,11,57
2412,-108,69,79,388,14,12,55
2412,-108,90,77,389,15,14,56
2412,-108,92,81,386,10,13,55
2412,-108,70,79,388,16,13,57
2412,-108,36,71,395,20,21,57
2412,-108,92,81,386,11,14,57
2412,-108,94,81,386,8,13,56
2412,-108,91,81,386,11,13,58
2412,-108,90,81,386,8,13,56
2412,-108,104,81,386,7,12,55
2412,-108,91,81,386,8,12,55
2412,-108,102,81,386,7,11,56
2412,-108,89,81,386,9,11,56
2412,-108,98,81,386,9,10,56
2412,-108,108,74,392,19,15,54
2412,-108,70,80,387,14,14,58
2412,-108,96,75,391,19,14,55
2412,-108,79,81,386,13,15,59
2412,-108,76,80,387,13,14,57
2412,-108,84,81,386,13,13,59
2412,-108,69,81,386,15,14,57
2412,-108,68,78,389,15,12,56
2412,-108,83,81,386,8,12,55
2412,-108,80,81,386,11,12,57
2412,-108,99,66,401,30,16,56
2412,-108,73,81,386,7,11,55
2412,-108,83,81,386,9,13,57
2412,-108,74,81,386,10,12,55
2412,-108,79,81,386,11,16,58
2412,-108,79,81,386,10,12,56
2412,-108,84,81,386,9,12,57
2412,-108,95,81,386,10,12,55
2412,-108,79,81,386,9,12,55
2412,-108,90,81,386,9,11,55
2412,-108,90,81,386,10,11,56
2412,-108,75,81,386,9,8,57
2412,-108,99,81,386,10,13,56
2412,-108,94,81,386,13,12,57
2412,-108,147,81,386,9,7,58
2412,-108,163,80,387,13,11,57
2412,-108,87,81,386,11,11,56
2412,-108,94,81,386,8,12,55
2412,-108,83,81,386,8,8,55
2412,-108,87,81,386,8,12,57
2412,-108,82,81,386,8,12,56
2412,-108,139,78,389,17,15,57
2412,-108,85,81,386,11,14,57
2412,-108,79,81,386,10,13,55
2412,-108,97,81,386,8,13,56
2412,-108,82,74,392,8,14,52
2412,-108,90,74,392,10,11,50
2412,-108,94,74,392,9,13,51
2412,-108,93,74,392,10,13,50
