freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-102,49,38,423,51,15,58
2412,-102,39,39,422,49,19,59
2412,-102,42,39,422,50,18,59
2412,-102,55,40,421,49,18,60
2412,-102,66,39,422,50,14,59
2412,-102,34,38,422,50,15,58
2412,-102,44,40,420,48,17,60
2412,-102,46,39,421,50,19,59
2412,-102,34,38,422,50,19,58
2412,-102,36,39,422,49,15,59
2412,-102,60,39,422,49,17,59
2412,-102,49,38,423,51,16,58
2412,-102,50,39,421,48,17,59
2412,-102,48,39,421,48,16,59
2412,-102,56,39,422,51,18,59
2412,-102,71,38,422,50,17,59
2412,-102,62,40,421,48,19,60
2412,-102,54,38,422,50,18,58
2412,-102,73,40,421,49,17,60
2412,-102,40,38,422,49,15,58
2412,-102,60,39,422,51,17,59
2412,-102,68,40,421,49,16,60
2412,-102,70,38,422,50,15,58
2412,-102,51,40,421,49,17,60
2412,-102,37,38,422,51,18,58
2412,-102,41,39,421,50,17,59
2412,-102,46,40,421,49,13,59
2412,-102,84,40,421,48,17,60
2412,-102,53,40,421,49,18,60
2412,-102,56,38,422,51,14,59
2412,-102,48,38,423,50,18,58
2412,-102,48,39,422,49,16,59
2412,-102,44,39,422,50,17,59
2412,-102,45,39,422,50,15,59
2412,-102,41,39,422,51,18,59
2412,-102,34,39,422,49,16,59
2412,-102,52,39,422,50,19,59
2412,-102,43,37,423,51,16,58
2412,-102,57,39,421,50,17,59
2412,-102,68,39,422,49,17,59
2412,-102,32,38,422,50,19,58
2412,-102,56,39,422,49,14,58
2412,-102,46,38,423,51,17,58
2412,-102,46,40,421,49,19,60
2412,-102,71,40,420,48,14,60
2412,-102,70,39,421,50,14,59
2412,-102,40,41,420,47,16,60
2412,-102,64,39,422,50,16,59
2412,-102,40,39,421,49,16,60
2412,-102,43,39,421,49,16,58
2412,-102,64,40,421,49,20,60
2412,-102,39,39,422,51,16,58
2412,-102,40,38,422,51,16,58
2412,-102,73,39,422,50,17,59
2412,-102,38,38,423,51,20,58
2412,-102,40,39,422,50,19,59
2412,-102,72,39,422,50,17,59
2412,-102,68,39,422,50,16,59
2412,-102,59,38,422,50,16,58
2412,-102,75,42,418,46,17,62
2412,-102,68,40,421,49,15,60
2412,-102,53,39,421,48,18,59
2412,-102,66,40,421,49,17,60
2412,-102,57,39,421,49,19,59
2412,-102,66,40,421,49,17,60
2412,-102,44,38,422,51,19,58
2412,-102,37,39,422,50,16,59
2412,-102,62,41,420,47,15,61
2412,-102,45,39,421,50,16,59
2412,-102,40,39,422,51,16,59
