freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-107,103,74,392,9,12,51
2412,-107,84,74,392,17,10,53
2412,-107,101,74,392,9,13,49
2412,-107,121,69,396,24,13,50
2412,-107,101,74,391,8,13,51
2412,-107,98,74,392,8,13,50
2412,-107,101,74,392,8,14,50
2412,-107,100,74,391,7,12,50
2412,-107,105,74,391,7,14,51
2412,-107,110,81,385,7,13,56
2412,-107,87,81,385,11,13,56
2412,-107,102,81,385,6,13,54
2412,-107,93,75,390,25,13,56
2412,-107,122,81,385,7,13,55
2412,-107,84,81,385,9,15,58
2412,-107,78,81,385,7,14,55
2412,-107,101,81,385,10,16,55
2412,-107,92,81,385,6,12,55
2412,-107,84,81,385,7,13,55
2412,-107,75,69,397,24,16,53
2412,-107,115,70,395,25,16,53
2412,-107,111,74,392,9,12,50
2412,-107,96,74,392,10,13,51
2412,-107,105,74,392,6,15,49
2412,-107,99,74,392,15,17,53
2412,-107,106,74,392,8,13,51
2412,-107,98,74,392,7,12,50
2412,-107,78,81,385,5,11,54
2412,-107,85,81,385,6,10,54
2412,-107,85,77,388,16,4,53
2412,-107,93,81,385,8,12,54
2412,-107,98,74,392,26,16,56
2412,-107,78,78,388,11,6,55
2412,-107,75,80,385,8,4,54
2412,-107,106,81,385,6,9,55
2412,-107,87,81,385,10,11,57
2412,-107,100,77,388,19,15,57
2412,-107,97,81,385,6,10,54
2412,-107,83,81,385,8,14,55
2412,-107,85,81,385,12,15,57
2412,-107,97,81,385,6,13,54
2412,-107,99,81,385,7,13,54
2412,-107,104,81,385,8,13,55
2412,-107,100,81,385,7,15,55
2412,-107,101,81,385,7,13,55
2412,-107,108,81,385,7,11,54
2412,-107,91,81,385,7,12,54
2412,-107,99,81,385,7,13,55
2412,-107,109,81,385,7,13,54
2412,-107,96,81,385,7,13,54
2412,-107,99,81,385,7,13,55
2412,-107,103,81,385,7,12,56
2412,-107,139,72,394,19,15,53
2412,-107,105,74,391,6,13,51
2412,-107,105,74,391,7,12,50
2412,-107,107,74,391,7,13,50
2412,-107,107,74,391,8,14,52
2412,-107,104,74,391,9,14,51
2412,-107,110,74,391,9,14,52
2412,-107,108,74,391,8,13,51
2412,-107,111,74,391,7,14,51
2412,-107,111,74,391,13,16,51
2412,-107,104,74,391,10,11,52
2412,-107,102,74,391,8,14,51
2412,-107,103,74,391,10,14,51
2412,-107,108,74,391,10,12,50
2412,-107,92,74,392,19,15,55
2412,-107,93,81,385,8,14,55
2412,-107,107,81,385,11,14,58
2412,-107,87,79,386,14,13,56
2412,-107,100,81,385,7,13,55
2412,-107,82,72,393,18,12,54
