freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-102,44,43,417,47,17,58
2412,-102,42,46,414,43,16,61
2412,-102,44,43,418,46,16,59
2412,-102,55,43,418,46,17,59
2412,-102,37,81,380,4,13,55
2412,-102,23,81,380,5,13,55
2412,-102,24,81,380,4,12,53
2412,-102,32,81,380,4,13,55
2412,-102,26,81,380,6,12,53
2412,-102,41,81,380,4,10,54
2412,-102,25,81,380,6,13,53
2412,-102,38,81,380,5,12,56
2412,-102,41,81,380,5,13,53
2412,-102,62,81,380,4,12,56
2412,-102,60,81,380,6,11,54
2412,-102,53,81,380,5,12,54
2412,-102,66,81,380,4,9,54
2412,-102,47,81,380,4,12,54
2412,-102,38,81,380,6,12,55
2412,-102,34,81,380,6,12,54
2412,-102,38,81,380,5,11,53
2412,-102,37,81,380,5,13,53
2412,-102,24,81,380,4,13,53
2412,-102,38,81,380,6,11,53
2412,-102,47,81,380,5,12,54
2412,-102,31,81,380,5,12,54
2412,-102,41,81,380,6,13,54
2412,-102,42,81,380,5,11,54
2412,-102,35,81,380,4,13,54
2412,-102,56,81,380,4,12,54
2412,-102,63,81,380,5,12,55
2412,-102,57,81,380,5,10,53
2412,-102,41,81,380,4,12,55
2412,-102,44,81,380,4,13,54
2412,-102,44,81,380,5,12,54
2412,-102,38,44,417,45,15,60
2412,-102,46,43,418,45,17,59
2412,-102,55,44,416,45,14,59
2412,-102,46,44,417,44,17,59
2412,-102,41,42,418,46,16,58
2412,-102,57,44,417,45,20,60
2412,-102,46,45,415,44,16,60
2412,-102,50,43,418,46,16,59
2412,-102,48,44,417,45,15,60
2412,-102,55,44,417,45,19,59
2412,-102,32,43,418,45,18,58
2412,-102,35,43,417,46,18,58
2412,-102,36,43,417,45,16,58
2412,-102,50,43,417,46,15,58
2412,-102,43,43,417,44,18,59
2412,-102,46,44,417,45,16,59
2412,-102,38,42,418,46,17,57
2412,-102,59,43,417,46,17,59
2412,-102,51,44,417,45,15,59
2412,-102,44,43,418,45,20,59
2412,-102,44,44,416,44,18,60
